Station,SampleDate,SampleTime,SampleType,SampleDepth,Taxa,Division,Tally,Density,Biovolume,Notes,CurrentDivision
GTB-WQ1,6/24/2015,9:30,water,0-8.0,Achnanthidium sp.,Bacillariophyta,1,1.21E+03,1.11E+05,Low detritus. Organisms appear degraded.,Bacillariophyta
GTB-WQ1,6/24/2015,9:30,water,0-8.0,Amphora pediculus,Bacillariophyta,8,9.69E+03,2.71E+05,Low detritus. Organisms appear degraded.,Bacillariophyta
GTB-WQ1,6/24/2015,9:30,water,0-8.0,cf. Aulacoseira sp.,Bacillariophyta,22,1.47E+03,9.07E+06,Low detritus. Organisms appear degraded.,Bacillariophyta
GTB-WQ1,6/24/2015,9:30,water,0-8.0,cf. Cavinula sp.,Bacillariophyta,1,1.21E+03,2.28E+05,Low detritus. Organisms appear degraded.,Bacillariophyta
GTB-WQ1,6/24/2015,9:30,water,0-8.0,cf. Cocconeis placentula,Bacillariophyta,1,1.21E+03,3.04E+05,Low detritus. Organisms appear degraded.,Bacillariophyta
GTB-WQ1,6/24/2015,9:30,water,0-8.0,Cocconeis sp.,Bacillariophyta,1,6.67E+01,3.08E+04,Low detritus. Organisms appear degraded.,Bacillariophyta
GTB-WQ1,6/24/2015,9:30,water,0-8.0,Cyclotella sp.,Bacillariophyta,15,3.69E+04,3.13E+06,Low detritus. Organisms appear degraded.,Bacillariophyta
GTB-WQ1,6/24/2015,9:30,water,0-8.0,Cymbella sp.,Bacillariophyta,3,2.00E+02,7.95E+05,Low detritus. Organisms appear degraded.,Bacillariophyta
GTB-WQ1,6/24/2015,9:30,water,0-8.0,Encyonema cf. minutum,Bacillariophyta,1,1.21E+03,4.07E+05,Low detritus. Organisms appear degraded.,Bacillariophyta
GTB-WQ1,6/24/2015,9:30,water,0-8.0,Encyonema sp.,Bacillariophyta,6,4.00E+02,7.82E+05,Low detritus. Organisms appear degraded.,Bacillariophyta
GTB-WQ1,6/24/2015,9:30,water,0-8.0,Fragilaria brevistriata,Bacillariophyta,6,1.48E+04,3.24E+06,Low detritus. Organisms appear degraded.,Bacillariophyta
GTB-WQ1,6/24/2015,9:30,water,0-8.0,Fragilaria capucina,Bacillariophyta,1,2.46E+03,9.89E+05,Low detritus. Organisms appear degraded.,Bacillariophyta
GTB-WQ1,6/24/2015,9:30,water,0-8.0,cf. Fragilaria crotonensis,Bacillariophyta,12,2.95E+04,1.17E+07,Low detritus. Organisms appear degraded.,Bacillariophyta
GTB-WQ1,6/24/2015,9:30,water,0-8.0,cf. Karayevia sp.,Bacillariophyta,2,4.92E+03,1.20E+06,Low detritus. Organisms appear degraded.,Bacillariophyta
GTB-WQ1,6/24/2015,9:30,water,0-8.0,cf. Navicula sp.,Bacillariophyta,5,1.23E+04,6.37E+05,Degraded. Low detritus. Organisms appear degraded.,Bacillariophyta
GTB-WQ1,6/24/2015,9:30,water,0-8.0,Navicula spp.,Bacillariophyta,6,4.00E+02,6.03E+05,Low detritus. Organisms appear degraded.,Bacillariophyta
