species,group,dw_flesh,dw_shell
zebra ,individual,0.0547,0.3599
zebra ,individual,0.0596,0.1294
zebra ,individual,0.0714,0.3581
zebra ,individual,0.1008,0.4173
zebra ,individual,0.0499,0.3294
zebra ,individual,0.0696,0.3763
zebra ,individual,0.0424,0.2305
zebra ,individual,0.0104,0.0626
zebra ,individual,0.0144,0.0724
zebra ,individual,0.0122,0.0536
zebra ,individual,0.0114,0.0659
zebra ,individual,0.0255,0.0984
zebra ,individual,0.0195,0.068
zebra ,individual,0.0656,0.2311
zebra ,individual,0.0623,0.4873
zebra ,individual,0.0801,0.4079
zebra ,individual,0.0862,0.5824
zebra ,individual,0.0436,0.3544
zebra ,individual,0.091,0.5205
zebra ,individual,0.0791,0.6258
zebra ,individual,0.0591,0.5187
zebra ,individual,0.0069,0.0247
zebra ,individual,0.0075,0.056
zebra ,individual,0.0362,0.3486
zebra ,individual,0.0651,0.4283
zebra ,individual,0.0046,0.0255
zebra ,individual,0.0728,0.3318
zebra ,individual,0.0512,0.4055
zebra ,individual,0.0734,0.6105
zebra ,individual,0.0634,0.332
zebra ,aggregate,0.2573,4.9097
zebra ,aggregate,0.1626,3.7687
zebra ,aggregate,0.2385,3.7873
zebra ,aggregate,0.2221,4.492
zebra ,aggregate,0.4865,8.513
zebra ,aggregate,0.9466,6.6459
zebra ,aggregate,1.0015,8.0428
quagga ,individual,0.0096,0.089
quagga ,individual,0.008,0.0783
quagga ,individual,0.0131,0.1468
quagga ,individual,0.011,0.1196
quagga ,individual,0.0407,0.3769
quagga ,individual,0.0197,0.3358
quagga ,individual,0.0065,0.1045
quagga ,individual,0.0124,0.1115
quagga ,individual,0.0069,0.1036
quagga ,individual,0.0602,0.4879
quagga ,individual,0.0528,0.5371
quagga ,individual,0.0112,0.1161
quagga ,individual,0.01,0.0935
quagga ,individual,0.0168,0.2216
quagga ,individual,0.0044,0.0604
quagga ,individual,0.0237,0.0874
quagga ,individual,0.0064,0.0692
quagga ,individual,0.0082,0.1419
quagga ,individual,0.0191,0.2259
quagga ,individual,0.0493,0.7485
quagga ,individual,0.0351,0.6949
quagga ,individual,0.1076,0.801
quagga ,individual,0.0789,1.08353
quagga ,individual,0.048,0.6974
quagga ,individual,0.0037,0.0206
quagga ,individual,0.0957,1.057
quagga ,individual,0.0406,0.3936
quagga ,individual,0.0635,0.6709
quagga ,individual,0.099,1.0039
quagga ,individual,0.0131,0.1036
quagga ,aggregate,0.2333,2.762
quagga ,aggregate,0.2056,2.9405
quagga ,aggregate,0.357,4.6631
quagga ,aggregate,0.4098,4.799
quagga ,aggregate,0.8208,10.0237
quagga ,aggregate,0.7419,8.8424
quagga ,aggregate,0.5868,7.7175
